"","Age","admission.department","flow"
"85",62,"Breast Thyroid Oncology Surgery",4
"86",63,"Breast Thyroid Oncology Surgery",8
"87",64,"Breast Thyroid Oncology Surgery",13
"88",65,"Breast Thyroid Oncology Surgery",2
"89",66,"Breast Thyroid Oncology Surgery",2
"90",67,"Breast Thyroid Oncology Surgery",1
"91",68,"Breast Thyroid Oncology Surgery",4
"92",69,"Breast Thyroid Oncology Surgery",2
"93",72,"Breast Thyroid Oncology Surgery",3
"94",73,"Breast Thyroid Oncology Surgery",3
"95",45,"Cardiology",1
"96",32,"L3 Breast Oncology DepartmentⅠ",1
"97",48,"L3 Breast Oncology DepartmentⅠ",1
"98",66,"L4 Breast Oncology Department II",1
"99",72,"Breast Thyroid Oncology Surgery",1
"100",16,"Breast Thyroid Surgery",1
"101",21,"Breast Thyroid Surgery",2
"102",23,"Breast Thyroid Surgery",1
"103",24,"Breast Thyroid Surgery",1
"104",25,"Breast Thyroid Surgery",1
"105",27,"Breast Thyroid Surgery",2
"106",28,"Breast Thyroid Surgery",2
"107",29,"Breast Thyroid Surgery",7
"108",30,"Breast Thyroid Surgery",13
"109",31,"Breast Thyroid Surgery",43
"110",32,"Breast Thyroid Surgery",33
"111",33,"Breast Thyroid Surgery",8
"112",34,"Breast Thyroid Surgery",17
"113",35,"Breast Thyroid Surgery",23
"114",36,"Breast Thyroid Surgery",40
"115",37,"Breast Thyroid Surgery",17
"116",38,"Breast Thyroid Surgery",19
"117",39,"Breast Thyroid Surgery",60
"118",40,"Breast Thyroid Surgery",61
"119",41,"Breast Thyroid Surgery",42
"120",42,"Breast Thyroid Surgery",19
"121",43,"Breast Thyroid Surgery",25
"122",44,"Breast Thyroid Surgery",17
"123",45,"Breast Thyroid Surgery",28
"124",46,"Breast Thyroid Surgery",42
"125",47,"Breast Thyroid Surgery",71
"126",48,"Breast Thyroid Surgery",62
"127",49,"Breast Thyroid Surgery",84
"128",50,"Breast Thyroid Surgery",46
"129",51,"Breast Thyroid Surgery",48
"130",52,"Breast Thyroid Surgery",66
"131",53,"Breast Thyroid Surgery",43
"132",54,"Breast Thyroid Surgery",20
"133",55,"Breast Thyroid Surgery",78
"134",56,"Breast Thyroid Surgery",37
"135",57,"Breast Thyroid Surgery",18
"136",58,"Breast Thyroid Surgery",31
"137",59,"Breast Thyroid Surgery",23
"138",60,"Breast Thyroid Surgery",17
"139",61,"Breast Thyroid Surgery",34
"140",62,"Breast Thyroid Surgery",13
"141",63,"Breast Thyroid Surgery",25
"142",64,"Breast Thyroid Surgery",13
"143",65,"Breast Thyroid Surgery",20
"144",66,"Breast Thyroid Surgery",7
"145",67,"Breast Thyroid Surgery",15
"146",68,"Breast Thyroid Surgery",10
"147",69,"Breast Thyroid Surgery",1
"148",70,"Breast Thyroid Surgery",3
"149",71,"Breast Thyroid Surgery",10
"150",72,"Breast Thyroid Surgery",14
"151",73,"Breast Thyroid Surgery",5
"152",74,"Breast Thyroid Surgery",1
"153",75,"Breast Thyroid Surgery",2
"154",76,"Breast Thyroid Surgery",2
"155",77,"Breast Thyroid Surgery",3
"156",78,"Breast Thyroid Surgery",2
"157",79,"Breast Thyroid Surgery",1
"158",81,"Breast Thyroid Surgery",1
"159",82,"Breast Thyroid Surgery",3
"160",86,"Breast Thyroid Surgery",1
"161",88,"Breast Thyroid Surgery",5
"162",30,"Comprehensive internal medicine",1
"163",61,"Department of Critical Care Medicine",1
"164",55,"Department of Traditional Chinese Medicine",1
"165",32,"Breast tumors",5
"166",37,"Breast tumors",1
"167",46,"Breast tumors",20
"168",47,"Breast tumors",12
"169",48,"Breast tumors",13
"170",49,"Breast tumors",1
"171",50,"Breast tumors",4
"172",51,"Breast tumors",24
"173",52,"Breast tumors",14
"174",53,"Breast tumors",18
"175",54,"Breast tumors",11
"176",55,"Breast tumors",7
"177",56,"Breast tumors",6
"178",57,"Breast tumors",4
"179",58,"Breast tumors",19
"180",59,"Breast tumors",28
"181",60,"Breast tumors",25
"182",61,"Breast tumors",19
"183",64,"Breast tumors",2
"184",65,"Breast tumors",18
"185",66,"Breast tumors",12
"186",67,"Breast tumors",15
"187",69,"Breast tumors",2
"188",71,"Breast tumors",2
"189",84,"Breast tumors",1
"190",49,"Breast Thyroid Surgery",1
"191",59,"Breast Thyroid Surgery",1
"192",0,"Cardiac Large Vascular Surgery",7
"193",1,"Cardiac Large Vascular Surgery",1
"194",2,"Cardiac Large Vascular Surgery",3
"195",3,"Cardiac Large Vascular Surgery",2
"196",6,"Cardiac Large Vascular Surgery",1
"197",8,"Cardiac Large Vascular Surgery",1
"198",10,"Cardiac Large Vascular Surgery",2
"199",11,"Cardiac Large Vascular Surgery",1
"200",13,"Cardiac Large Vascular Surgery",1
"201",14,"Cardiac Large Vascular Surgery",1
"202",17,"Cardiac Large Vascular Surgery",1
"203",20,"Cardiac Large Vascular Surgery",1
"204",23,"Cardiac Large Vascular Surgery",1
"205",24,"Cardiac Large Vascular Surgery",1
"206",26,"Cardiac Large Vascular Surgery",1
"207",28,"Cardiac Large Vascular Surgery",1
"208",30,"Cardiac Large Vascular Surgery",1
"209",32,"Cardiac Large Vascular Surgery",5
"210",35,"Cardiac Large Vascular Surgery",6
"211",36,"Cardiac Large Vascular Surgery",6
"212",37,"Cardiac Large Vascular Surgery",4
"213",38,"Cardiac Large Vascular Surgery",5
"214",39,"Cardiac Large Vascular Surgery",3
"215",40,"Cardiac Large Vascular Surgery",5
"216",41,"Cardiac Large Vascular Surgery",5
"217",42,"Cardiac Large Vascular Surgery",4
"218",43,"Cardiac Large Vascular Surgery",15
"219",44,"Cardiac Large Vascular Surgery",12
"220",45,"Cardiac Large Vascular Surgery",12
"221",46,"Cardiac Large Vascular Surgery",20
"222",47,"Cardiac Large Vascular Surgery",20
"223",48,"Cardiac Large Vascular Surgery",19
"224",49,"Cardiac Large Vascular Surgery",20
"225",50,"Cardiac Large Vascular Surgery",22
"226",51,"Cardiac Large Vascular Surgery",32
"227",52,"Cardiac Large Vascular Surgery",27
"228",53,"Cardiac Large Vascular Surgery",52
"229",54,"Cardiac Large Vascular Surgery",32
"230",55,"Cardiac Large Vascular Surgery",40
"231",56,"Cardiac Large Vascular Surgery",40
"232",57,"Cardiac Large Vascular Surgery",30
"233",58,"Cardiac Large Vascular Surgery",38
"234",59,"Cardiac Large Vascular Surgery",36
"235",60,"Cardiac Large Vascular Surgery",57
"236",61,"Cardiac Large Vascular Surgery",46
"237",62,"Cardiac Large Vascular Surgery",53
"238",63,"Cardiac Large Vascular Surgery",67
"239",64,"Cardiac Large Vascular Surgery",66
"240",65,"Cardiac Large Vascular Surgery",67
"241",66,"Cardiac Large Vascular Surgery",53
"242",67,"Cardiac Large Vascular Surgery",63
"243",68,"Cardiac Large Vascular Surgery",60
"244",69,"Cardiac Large Vascular Surgery",41
"245",70,"Cardiac Large Vascular Surgery",48
"246",71,"Cardiac Large Vascular Surgery",34
"247",72,"Cardiac Large Vascular Surgery",27
"248",73,"Cardiac Large Vascular Surgery",25
"249",74,"Cardiac Large Vascular Surgery",26
"250",75,"Cardiac Large Vascular Surgery",17
"251",76,"Cardiac Large Vascular Surgery",21
"252",77,"Cardiac Large Vascular Surgery",13
"253",78,"Cardiac Large Vascular Surgery",12
"254",79,"Cardiac Large Vascular Surgery",4
"255",80,"Cardiac Large Vascular Surgery",2
"256",81,"Cardiac Large Vascular Surgery",6
"257",82,"Cardiac Large Vascular Surgery",6
"258",83,"Cardiac Large Vascular Surgery",1
"259",84,"Cardiac Large Vascular Surgery",2
"260",85,"Cardiac Large Vascular Surgery",1
"261",86,"Cardiac Large Vascular Surgery",1
"262",87,"Cardiac Large Vascular Surgery",1
"263",91,"Cardiac Large Vascular Surgery",1
"264",94,"Cardiac Large Vascular Surgery",1
"265",57,"Cardiac Large Vascular Surgery Monitoring Room",1
"266",27,"Cardiology",1
"267",35,"Cardiology",1
"268",40,"Cardiology",1
"269",41,"Cardiology",1
"270",44,"Cardiology",1
"271",45,"Cardiology",1
"272",46,"Cardiology",2
"273",47,"Cardiology",2
"274",48,"Cardiology",4
"275",49,"Cardiology",1
"276",50,"Cardiology",6
"277",51,"Cardiology",1
"278",52,"Cardiology",3
"279",53,"Cardiology",11
"280",54,"Cardiology",4
"281",55,"Cardiology",7
"282",56,"Cardiology",7
"283",57,"Cardiology",4
"284",58,"Cardiology",6
"285",59,"Cardiology",11
"286",60,"Cardiology",5
"287",61,"Cardiology",7
"288",62,"Cardiology",11
"289",63,"Cardiology",5
"290",64,"Cardiology",9
"291",65,"Cardiology",12
"292",66,"Cardiology",11
"293",67,"Cardiology",10
"294",68,"Cardiology",10
"295",69,"Cardiology",7
"296",70,"Cardiology",4
"297",71,"Cardiology",3
"298",72,"Cardiology",1
"299",73,"Cardiology",5
"300",74,"Cardiology",3
"301",75,"Cardiology",1
"302",76,"Cardiology",3
"303",77,"Cardiology",2
"304",62,"Comprehensive internal medicine",1
"305",57,"Comprehensive Medical Department",1
"306",61,"Comprehensive Medical Department",1
"307",57,"Comprehensive Surgery",1
"308",58,"Department of Infectious Diseases",1
"309",61,"Department of Infectious Diseases",1
"310",58,"Department of Traditional Chinese Medicine",1
"311",47,"Endocrinology Department",1
"312",55,"Gastroenterology",1
"313",59,"General Medicine",1
"314",63,"General Medicine",1
"315",64,"General Medicine",1
"316",75,"Hepatobiliary Surgery",1
"317",62,"Nephrology",1
"318",60,"Neurology",1
"319",0,"Pediatrics",2
"320",54,"Respiratory Medicine",1
"321",69,"Respiratory Medicine",1
"322",66,"V4 Surgery Comprehensive Ward",1
"323",65,"Vascular Surgery",1
"324",74,"Cardiac Large Vascular Surgery",1
"325",49,"Cardiac Large Vascular Surgery Monitoring Room",1
"326",60,"Breast Thyroid Surgery",1
"327",49,"Cardiac Large Vascular Surgery",1
"328",50,"Cardiac Large Vascular Surgery",1
"329",53,"Cardiac Large Vascular Surgery",1
"330",54,"Cardiac Large Vascular Surgery",1
"331",57,"Cardiac Large Vascular Surgery",1
"332",58,"Cardiac Large Vascular Surgery",2
"333",63,"Cardiac Large Vascular Surgery",1
"334",64,"Cardiac Large Vascular Surgery",2
"335",65,"Cardiac Large Vascular Surgery",2
"336",67,"Cardiac Large Vascular Surgery",1
"337",69,"Cardiac Large Vascular Surgery",1
"338",70,"Cardiac Large Vascular Surgery",1
"339",71,"Cardiac Large Vascular Surgery",1
"340",72,"Cardiac Large Vascular Surgery",1
"341",76,"Cardiac Large Vascular Surgery",1
"342",77,"Cardiac Large Vascular Surgery",1
"343",80,"Cardiac Large Vascular Surgery",1
"344",84,"Cardiac Large Vascular Surgery",1
"345",12,"Cardiology",1
"346",14,"Cardiology",2
"347",16,"Cardiology",1
"348",18,"Cardiology",1
"349",19,"Cardiology",1
"350",20,"Cardiology",2
"351",21,"Cardiology",2
"352",22,"Cardiology",2
"353",24,"Cardiology",3
"354",26,"Cardiology",4
"355",27,"Cardiology",3
"356",28,"Cardiology",3
"357",29,"Cardiology",12
"358",30,"Cardiology",9
"359",31,"Cardiology",20
"360",32,"Cardiology",18
"361",33,"Cardiology",24
"362",34,"Cardiology",24
"363",35,"Cardiology",47
"364",36,"Cardiology",35
"365",37,"Cardiology",31
"366",38,"Cardiology",43
"367",39,"Cardiology",52
"368",40,"Cardiology",68
"369",41,"Cardiology",90
"370",42,"Cardiology",72
"371",43,"Cardiology",112
"372",44,"Cardiology",131
"373",45,"Cardiology",161
"374",46,"Cardiology",212
"375",47,"Cardiology",229
"376",48,"Cardiology",260
"377",49,"Cardiology",305
"378",50,"Cardiology",349
"379",51,"Cardiology",417
"380",52,"Cardiology",479
"381",53,"Cardiology",502
"382",54,"Cardiology",508
"383",55,"Cardiology",525
"384",56,"Cardiology",495
"385",57,"Cardiology",578
"386",58,"Cardiology",619
"387",59,"Cardiology",676
"388",60,"Cardiology",738
"389",61,"Cardiology",761
"390",62,"Cardiology",711
"391",63,"Cardiology",865
"392",64,"Cardiology",794
"393",65,"Cardiology",794
"394",66,"Cardiology",831
"395",67,"Cardiology",773
"396",68,"Cardiology",822
"397",69,"Cardiology",747
"398",70,"Cardiology",700
"399",71,"Cardiology",707
"400",72,"Cardiology",660
"401",73,"Cardiology",671
"402",74,"Cardiology",620
"403",75,"Cardiology",604
"404",76,"Cardiology",583
"405",77,"Cardiology",559
"406",78,"Cardiology",462
"407",79,"Cardiology",423
"408",80,"Cardiology",429
"409",81,"Cardiology",443
"410",82,"Cardiology",357
"411",83,"Cardiology",326
"412",84,"Cardiology",298
"413",85,"Cardiology",221
"414",86,"Cardiology",179
"415",87,"Cardiology",159
"416",88,"Cardiology",104
"417",89,"Cardiology",84
"418",90,"Cardiology",65
"419",91,"Cardiology",32
"420",92,"Cardiology",12
"421",93,"Cardiology",13
"422",94,"Cardiology",13
"423",95,"Cardiology",6
"424",96,"Cardiology",10
"425",98,"Cardiology",1
"426",99,"Cardiology",1
"427",46,"Comprehensive internal medicine",1
"428",51,"Comprehensive internal medicine",1
"429",53,"Comprehensive internal medicine",1
"430",54,"Comprehensive internal medicine",1
"431",61,"Comprehensive internal medicine",1
"432",72,"Comprehensive internal medicine",1
"433",73,"Comprehensive internal medicine",1
"434",75,"Comprehensive internal medicine",1
"435",81,"Comprehensive internal medicine",1
"436",84,"Comprehensive internal medicine",1
"437",85,"Comprehensive internal medicine",1
"438",87,"Comprehensive internal medicine",1
"439",55,"Dental department",1
"440",64,"Dental department",1
"441",59,"Department of Critical Care Medicine",1
"442",63,"Department of Critical Care Medicine",1
"443",66,"Department of Critical Care Medicine",1
"444",68,"Department of Critical Care Medicine",1
"445",75,"Department of Critical Care Medicine",1
"446",78,"Department of Critical Care Medicine",1
"447",72,"Department of Infectious Diseases",1
"448",76,"Department of Infectious Diseases",1
"449",92,"Department of Infectious Diseases",1
"450",66,"Department of Respiratory and Critical Care Medicine",1
"451",72,"Department of Respiratory and Critical Care Medicine",3
"452",76,"Department of Respiratory and Critical Care Medicine",1
"453",84,"Department of Respiratory and Critical Care Medicine",1
"454",51,"Department of Traditional Chinese Medicine",1
"455",57,"Department of Traditional Chinese Medicine",1
"456",64,"Department of Traditional Chinese Medicine",1
"457",68,"Department of Traditional Chinese Medicine",1
"458",69,"Department of Traditional Chinese Medicine",1
"459",72,"Department of Traditional Chinese Medicine",2
"460",75,"Department of Traditional Chinese Medicine",1
"461",79,"Department of Traditional Chinese Medicine",1
"462",81,"Department of Traditional Chinese Medicine",1
"463",84,"Department of Traditional Chinese Medicine",1
"464",63,"dermatology",1
"465",52,"Digestive Oncology Surgery",1
"466",86,"Emergency Surgery",1
"467",44,"Endocrinology Department",1
"468",56,"Endocrinology Department",3
"469",62,"Endocrinology Department",1
"470",64,"Endocrinology Department",2
"471",70,"Endocrinology Department",1
"472",78,"Endocrinology Department",1
"473",35,"Gastroenterology",1
"474",53,"Gastroenterology",1
"475",56,"Gastroenterology",1
"476",64,"Gastroenterology",1
"477",65,"Gastroenterology",1
"478",68,"Gastroenterology",1
"479",69,"Gastroenterology",1
"480",71,"Gastroenterology",2
"481",75,"Gastroenterology",1
"482",76,"Gastroenterology",1
"483",81,"Gastroenterology",1
"484",82,"Gastroenterology",1
"485",83,"Gastroenterology",1
"486",86,"Gastroenterology",1
"487",87,"Gastroenterology",1
"488",45,"Gastroenterology Surgery",1
"489",56,"Gastroenterology Surgery",1
"490",64,"Gastroenterology Surgery",1
"491",67,"Gastroenterology Surgery",1
"492",63,"Gastroenterology Surgery II",1
"493",64,"Gastroenterology Surgery II",1
"494",72,"Gastroenterology Surgery II",1
"495",71,"Gynecology",1
"496",77,"Hematology",1
"497",64,"Hepatobiliary Surgery",1
"498",79,"Hepatobiliary Surgery",1
"499",80,"Hepatobiliary Surgery",1
"500",70,"Laparoscopic surgery",1
"501",49,"M2 Gynecological Oncology DepartmentⅠ",1
"502",66,"M3 Urinary and Gynecological Tumor Disease II",1
"503",72,"N14",1
"504",55,"Nephrology",1
"505",60,"Nephrology",1
"506",61,"Nephrology",2
"507",66,"Nephrology",1
"508",68,"Nephrology",1
"509",71,"Nephrology",1
"510",51,"Nephropathy Department",2
"511",53,"Nephropathy Department",1
"512",56,"Nephropathy Department",1
"513",58,"Nephropathy Department",2
"514",61,"Nephropathy Department",2
"515",63,"Nephropathy Department",1
"516",64,"Nephropathy Department",3
"517",65,"Nephropathy Department",1
"518",66,"Nephropathy Department",1
"519",68,"Nephropathy Department",1
"520",69,"Nephropathy Department",2
"521",70,"Nephropathy Department",1
"522",75,"Nephropathy Department",1
"523",78,"Nephropathy Department",1
"524",42,"Neurology",1
"525",57,"Neurology",1
"526",60,"Neurology",2
"527",70,"Neurology",1
"528",71,"Neurology",1
"529",78,"Neurology",1
"530",79,"Neurology",1
"531",89,"Neurology",1
"532",55,"Neurosurgery",1
"533",31,"obstetrics",1
"534",59,"ophthalmology",1
"535",61,"ophthalmology",1
"536",67,"ophthalmology",1
"537",69,"ophthalmology",1
"538",78,"Orthopedic surgery",1
"539",81,"orthopedics",1
"540",68,"Otolaryngology",1
"541",70,"Otolaryngology",1
"542",66,"Pain Department",1
"543",70,"Pain Department",1
"544",48,"Respiratory and Critical Care Medicine",1
"545",55,"Respiratory and Critical Care Medicine",1
"546",33,"Respiratory Medicine",1
"547",42,"Respiratory Medicine",1
"548",53,"Respiratory Medicine",1
"549",66,"Respiratory Medicine",1
"550",70,"Respiratory Medicine",2
"551",74,"Respiratory Medicine",1
"552",79,"Respiratory Medicine",1
"553",83,"Respiratory Medicine",1
"554",86,"Respiratory Medicine",1
"555",52,"Rheumatism and Immunology Department",1
"556",53,"Rheumatism and Immunology Department",1
"557",51,"Thoracic Surgery",1
"558",66,"Thoracic Surgery",1
"559",68,"Thoracic Surgery",1
"560",70,"Thoracic Surgery",1
"561",76,"Thoracic Surgery",1
"562",77,"Thoracic Surgery",1
"563",42,"Urology",1
"564",63,"Urology",1
"565",66,"Urology",1
"566",73,"Urology",1
"567",76,"Urology",1
"568",79,"Urology",1
"569",82,"Urology",1
"570",58,"Vascular Surgery",1
"571",69,"Vascular Surgery",2
"572",74,"Vascular Surgery",2
"573",75,"Vascular Surgery",1
"574",79,"Vascular Surgery",1
"575",92,"Vascular Surgery",1
"576",96,"Vascular Surgery",1
"577",63,"West Hospital Z2 West Isolation Ward",1
"578",54,"Z11 Digestive Oncology Department I",1
"579",69,"Z14 Chest Oncology Department II",1
"580",71,"Cardiology",1
"581",50,"Cell Therapy Department",1
"582",51,"Cell Therapy Department",1
"583",19,"Chest Oncology Surgery",2
"584",39,"Chest Oncology Surgery",1
"585",45,"Chest Oncology Surgery",2
"586",46,"Chest Oncology Surgery",2
"587",47,"Chest Oncology Surgery",3
"588",49,"Chest Oncology Surgery",1
"589",50,"Chest Oncology Surgery",2
"590",51,"Chest Oncology Surgery",2
"591",52,"Chest Oncology Surgery",2
"592",53,"Chest Oncology Surgery",1
"593",56,"Chest Oncology Surgery",1
"594",57,"Chest Oncology Surgery",1
"595",58,"Chest Oncology Surgery",3
"596",59,"Chest Oncology Surgery",6
"597",60,"Chest Oncology Surgery",2
"598",61,"Chest Oncology Surgery",1
"599",62,"Chest Oncology Surgery",4
"600",63,"Chest Oncology Surgery",5
"601",64,"Chest Oncology Surgery",8
"602",65,"Chest Oncology Surgery",4
"603",66,"Chest Oncology Surgery",5
"604",67,"Chest Oncology Surgery",1
"605",68,"Chest Oncology Surgery",4
"606",69,"Chest Oncology Surgery",3
"607",70,"Chest Oncology Surgery",1
"608",71,"Chest Oncology Surgery",2
"609",73,"Chest Oncology Surgery",2
"610",75,"Chest Oncology Surgery",2
"611",77,"Chest Oncology Surgery",1
"612",61,"Gastroenterology",1
"613",63,"Gastroenterology",2
"614",53,"Respiratory Medicine",1
"615",64,"Respiratory Medicine",1
"616",47,"Stem Cell Center Cell Therapy Department",1
"617",51,"Stem Cell Center Cell Therapy Department",3
"618",56,"Stem Cell Center Cell Therapy Department",1
"619",68,"Stem Cell Center Cell Therapy Department",1
"620",82,"Stem Cell Center Cell Therapy Department",1
"621",60,"Thoracic Surgery",1
"622",68,"Thoracic Surgery",1
"623",63,"Z11 Digestive Oncology Department I",1
"624",64,"Z14 Chest Oncology Department II",1
"625",58,"Z8 Head and Neck Oncology Department II",1
"626",60,"Cardiology",1
"627",72,"Cardiology",1
"628",76,"Cardiology",1
"629",78,"Cardiology",2
"630",80,"Cardiology",1
"631",82,"Cardiology",1
"632",87,"Cardiology",1
"633",88,"Cardiology",1
"634",89,"Cardiology",1
"635",90,"Cardiology",1
"636",27,"Comprehensive internal medicine",2
"637",28,"Comprehensive internal medicine",1
"638",33,"Comprehensive internal medicine",2
"639",34,"Comprehensive internal medicine",2
"640",36,"Comprehensive internal medicine",3
"641",37,"Comprehensive internal medicine",5
"642",39,"Comprehensive internal medicine",1
"643",40,"Comprehensive internal medicine",4
"644",41,"Comprehensive internal medicine",7
"645",42,"Comprehensive internal medicine",10
"646",43,"Comprehensive internal medicine",6
"647",44,"Comprehensive internal medicine",13
"648",45,"Comprehensive internal medicine",25
"649",46,"Comprehensive internal medicine",18
"650",47,"Comprehensive internal medicine",31
"651",48,"Comprehensive internal medicine",29
"652",49,"Comprehensive internal medicine",34
"653",50,"Comprehensive internal medicine",35
"654",51,"Comprehensive internal medicine",34
"655",52,"Comprehensive internal medicine",59
"656",53,"Comprehensive internal medicine",72
"657",54,"Comprehensive internal medicine",55
"658",55,"Comprehensive internal medicine",79
"659",56,"Comprehensive internal medicine",55
"660",57,"Comprehensive internal medicine",52
"661",58,"Comprehensive internal medicine",59
"662",59,"Comprehensive internal medicine",56
"663",60,"Comprehensive internal medicine",61
"664",61,"Comprehensive internal medicine",66
"665",62,"Comprehensive internal medicine",70
"666",63,"Comprehensive internal medicine",70
"667",64,"Comprehensive internal medicine",84
"668",65,"Comprehensive internal medicine",72
"669",66,"Comprehensive internal medicine",58
"670",67,"Comprehensive internal medicine",69
"671",68,"Comprehensive internal medicine",59
"672",69,"Comprehensive internal medicine",64
"673",70,"Comprehensive internal medicine",57
"674",71,"Comprehensive internal medicine",53
"675",72,"Comprehensive internal medicine",60
"676",73,"Comprehensive internal medicine",66
"677",74,"Comprehensive internal medicine",63
"678",75,"Comprehensive internal medicine",78
"679",76,"Comprehensive internal medicine",68
"680",77,"Comprehensive internal medicine",94
"681",78,"Comprehensive internal medicine",96
"682",79,"Comprehensive internal medicine",112
"683",80,"Comprehensive internal medicine",136
"684",81,"Comprehensive internal medicine",145
"685",82,"Comprehensive internal medicine",173
"686",83,"Comprehensive internal medicine",220
"687",84,"Comprehensive internal medicine",287
"688",85,"Comprehensive internal medicine",320
"689",86,"Comprehensive internal medicine",326
"690",87,"Comprehensive internal medicine",377
"691",88,"Comprehensive internal medicine",321
"692",89,"Comprehensive internal medicine",216
"693",90,"Comprehensive internal medicine",214
"694",91,"Comprehensive internal medicine",195
"695",92,"Comprehensive internal medicine",139
"696",93,"Comprehensive internal medicine",57
"697",94,"Comprehensive internal medicine",44
"698",95,"Comprehensive internal medicine",39
"699",96,"Comprehensive internal medicine",24
"700",97,"Comprehensive internal medicine",12
"701",98,"Comprehensive internal medicine",24
"702",99,"Comprehensive internal medicine",12
"703",100,"Comprehensive internal medicine",12
"704",101,"Comprehensive internal medicine",11
"705",68,"Comprehensive Surgery",1
"706",70,"Comprehensive Surgery",1
"707",77,"Comprehensive Surgery",1
"708",83,"dermatology",1
"709",89,"Emergency Internal Medicine",1
"710",90,"Emergency Surgery",1
"711",80,"Gastroenterology Surgery",1
"712",41,"Haematology",1
"713",81,"Haematology",1
"714",57,"Hepatobiliary Surgery",1
"715",47,"Neurology",1
"716",55,"Neurology",1
"717",57,"Neurology",1
"718",84,"Neurology",1
"719",87,"Neurology",1
"720",68,"Neurosurgery",1
"721",69,"orthopedics",1
"722",84,"orthopedics",1
"723",43,"Otolaryngology",1
"724",85,"Respiratory Medicine",1
"725",88,"Respiratory Medicine",1
"726",58,"V4 Surgery Comprehensive Ward",1
"727",94,"V4 Surgery Comprehensive Ward",1
"728",70,"Cardiac Large Vascular Surgery",1
"729",56,"Cardiology",1
"730",33,"Comprehensive Medical Department",1
"731",36,"Comprehensive Medical Department",1
